what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444624231072
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444624232792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624233522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624350368
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444624354518
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444624358438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624367219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624368069
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444624370929
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444624371569
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444624372449
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444624374159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624393909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624396529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624397539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624468982
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1444624474162
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1444624475022
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1444624476912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624494900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624586846
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1444624588046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624598696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624643096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1444624668401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444624671421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624691448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444624692308
